City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,chernyshevskiy,63.0128,112.4714,-32.422222222222224,100,98,2.8,RU,1707771443
299,andratx,39.5755,2.4202,17.56111111111111,68,0,30.31,ES,1707771443
300,yangshuo,24.7808,110.4897,12.588888888888887,63,4,2.93,CN,1707771443
301,yerofey pavlovich,53.9667,121.9667,-15.788888888888891,92,100,3.53,RU,1707771443
302,sucua,-2.4667,-78.1667,22.411111111111115,94,100,5.75,EC,1707771443
303,banda aceh,5.5577,95.3222,28.027777777777782,77,0,27.13,ID,1707771443
304,galliano,29.4422,-90.2992,19.000000000000004,48,0,17.27,US,1707771443
305,kulykivka,51.3735,31.6466,6.572222222222222,97,100,5.61,UA,1707771443
306,banjar,-8.19,114.9675,27.750000000000004,74,100,2.59,ID,1707771443
307,ghadamis,30.1337,9.5007,18.672222222222224,43,0,9.28,LY,1707771443
308,anloga,5.7947,0.8973,28.000000000000004,84,0,9.28,GH,1707771444
309,hadibu,12.65,54.0333,25.572222222222223,74,24,13.0,YE,1707771444
310,verwood,50.8758,-1.8702,7.377777777777779,87,0,5.75,GB,1707771444
311,luderitz,-26.6481,15.1594,18.177777777777777,93,0,11.74,NA,1707771444
312,lysyye gory,51.5506,44.8414,3.172222222222223,100,100,12.03,RU,1707771444
313,yinchuan,38.4681,106.2731,2.2888888888888874,26,27,4.76,CN,1707771444
314,tres lagoas,-20.7511,-51.6783,32.97222222222222,38,100,8.84,BR,1707771247
315,bodaybo,57.8506,114.1933,-16.85,91,100,5.93,RU,1707771444
316,oppdal,62.5943,9.6912,-7.127777777777777,88,100,8.77,NO,1707771444
317,yulinshi,38.2906,109.7494,2.2777777777777786,35,0,5.64,CN,1707771444
318,kirakira,-10.4544,161.9205,27.82777777777778,77,70,15.48,SB,1707771444
319,bardai,11.65,7.2333,24.93888888888889,13,1,9.35,NG,1707771445
320,semey,50.4111,80.2275,-15.3,89,17,5.88,KZ,1707771445
321,dudinka,69.4058,86.1778,-37.4,99,14,4.0,RU,1707771445
322,sibiti,-3.6819,13.3499,23.53888888888889,90,87,0.18,CG,1707771445
323,margate,51.3813,1.3862,5.938888888888888,70,15,5.01,GB,1707771445
324,pimentel,-6.8367,-79.9342,29.161111111111108,58,75,18.41,PE,1707771445
325,carauari,-4.8828,-66.8958,27.7,90,83,2.62,BR,1707771445
326,rongelap,11.1635,166.8941,26.4,79,74,21.3,MH,1707771445
327,howrah,22.5892,88.3103,19.000000000000004,82,40,0.0,IN,1707771445
328,porto belo,-27.1578,-48.5531,32.82777777777778,86,73,10.54,BR,1707771445
329,hirara,24.8,125.2833,17.15,67,100,4.61,JP,1707771446
330,tucupita,9.0622,-62.051,31.688888888888894,45,64,9.1,VE,1707771223
331,totskoye,52.5248,52.7623,-8.95,95,100,12.33,RU,1707771446
332,kavaratti,10.5669,72.642,27.7,70,78,6.82,IN,1707771446
